StatusDetail,ProjectName,VerseCount
Complete,Acts 27:15-21,7
Complete,Acts 28:1-8,8
Complete,Acts 28:9-16,8
Complete,Acts 28:25-31,7
Complete,Acts 28:17-24,8
Phase 3 (POLISHING),Romans 1:17-32,16
Phase 3 (POLISHING),Romans 1:1-16,16
Phase 3 (POLISHING),Romans 2:22-29,8
Phase 3 (POLISHING),Romans 2:11-21,11
Phase 3 (POLISHING),Romans 2:1-10,10
Phase 3 (POLISHING),Romans 3:21-31,11
Phase 3 (POLISHING),Romans 3:11-20,10
Phase 3 (POLISHING),Romans 3:1-10,10
Phase 3 (POLISHING),Romans 4:11-20,10
Phase 3 (POLISHING),Romans 4:21-25,5
Phase 3 (POLISHING),Romans 4:1-10,10
Phase 3 (POLISHING),Romans 5:1-11,11
Phase 3 (POLISHING),Romans 5:12-21,10
Phase 3 (POLISHING),Romans 6:16-23,8
Phase 3 (POLISHING),Romans 6:8-15,8
Phase 3 (POLISHING),Romans 6:1-7,7
Phase 3 (POLISHING),Romans 7:17-25,9
Phase 3 (POLISHING),Romans 7:9-16,8
Phase 3 (POLISHING),Romans 7:1-8,8
Phase 3 (POLISHING),Romans 8:31-39,9
Phase 3 (POLISHING),Romans 8:21-30,10
Phase 3 (POLISHING),Romans 8:11-20,10
Phase 3 (POLISHING),Romans 8:1-10,10
Phase 3 (POLISHING),Romans 9:1-11,11
Phase 3 (POLISHING),Romans 9:12-21,10
Phase 3 (POLISHING),Romans 9:22-33,12
Phase 3 (POLISHING),Romans 10:1-10,10
Phase 3 (POLISHING),Romans 10:11-21,11
Phase 2,Romans 11:1-10,10
Phase 2,Romans 11:11-20,10
Phase 2,Romans 11:21-30,10
Phase 2,Romans 11:31-36,6
Phase 1 Sign-off,Romans 12:1-10,10
Consultant,Romans 12:11-21,11
Phase 3 (POLISHING),Romans 13:1-7,7
Phase 3 (POLISHING),Romans 13:8-14,7
Completed This Period,Romans 14:1-11,11
Completed This Period,Romans 14:12-23,12
Phase 2,Romans 15:23-33,11
Phase 2,Romans 15:12-22,11
Phase 2,Romans 15:1-11,11
Phase 3 (POLISHING),Romans 16:11-19,9
Phase 3 (POLISHING),Romans 16:1-10,10
Phase 3 (POLISHING),Romans 16:20-27,8
Phase 3 (POLISHING),1 Corinthians 1:1-8,8
Phase 3 (POLISHING),1 Corinthians 1:17-24,8
Phase 3 (POLISHING),1 Corinthians 1:9-16,8
Phase 3 (POLISHING),1 Corinthians 1:25-31,7
Phase 3 (POLISHING),1 Corinthians 2:9-16,8
Phase 3 (POLISHING),1 Corinthians 2:1-8,8
Phase 3 (POLISHING),1 Corinthians 3:1-8,8
Phase 3 (POLISHING),1 Corinthians 3:9-16,8
Phase 3 (POLISHING),1 Corinthians 3:17-23,7
Phase 3 (POLISHING),1 Corinthians 4:11-21,11
Phase 3 (POLISHING),1 Corinthians 4:1-10,10
Phase 2,1 Corinthians 5:8-13,6
Phase 2,1 Corinthians 5:1-7,7
Phase 2,1 Corinthians 6:1-10,10
Phase 2,1 Corinthians 6:11-20,10
Phase 3 (POLISHING),1 Corinthians 7:11-20,10
Phase 3 (POLISHING),1 Corinthians 7:21-30,10
Phase 3 (POLISHING),1 Corinthians 7:1-10,10
Phase 3 (POLISHING),1 Corinthians 7:31-40,10
Phase 3 (POLISHING),1 Corinthians 8:8-13,6
Phase 3 (POLISHING),1 Corinthians 8:1-7,7
Phase 3 (POLISHING),1 Corinthians 9:21-27,7
Phase 3 (POLISHING),1 Corinthians 9:11-20,10
Phase 3 (POLISHING),1 Corinthians 9:1-10,10
Phase 2,1 Corinthians 10:1-11,11
Phase 2,1 Corinthians 10:23-33,11
Phase 2,1 Corinthians 10:12-22,11
Phase 2,1 Corinthians 11:23-34,12
Phase 2,1 Corinthians 11:12-22,11
Phase 2,1 Corinthians 11:1-11,11
Phase 3 (POLISHING),1 Corinthians 12:11-20,10
